form,lemma,lemma_sf
kontɾaaɡˈajs,kontɾaasˈeɾ,s
kontɾajɡˈamos,kontɾaˈeɾ,
detɾˈajɡas,detɾaˈeɾ,
kaɾesˈemos,kaɾesˈeɾ,s
ensombɾeskˈajs,ensombɾesˈeɾ,s
ɡwaɾeskˈamos,ɡwaɾesˈeɾ,s
ennobleskˈamos,ennoblesˈeɾ,s
suponɡˈajs,suponˈeɾ,n
destoɾsˈamos,destoɾsˈeɾ,ɾs
destoɾsˈejs,destoɾsˈeɾ,ɾs
indisponˈejs,indisponˈeɾ,n
sobɾekoçˈemos,sobɾekoçˈeɾ,ç
siɾkunbjˈenes,siɾkunbenˈiɾ,n
kaɾˈeska,kaɾesˈeɾ,s
unxˈajs,unçˈiɾ,nç
enkˈoxa,enkoçˈeɾ,ç
dibeɾçˈimos,dibeɾçˈiɾ,ɾç
oskuɾˈesko,oskuɾesˈeɾ,s
foɾtalesˈejs,foɾtalesˈeɾ,s
esklaɾˈesko,esklaɾesˈeɾ,s
inteliçˈis,inteliçˈiɾ,ç
tɾansiçˈimos,tɾansiçˈiɾ,ç
tɾansˈiçes,tɾansiçˈiɾ,ç
tɾansˈiçen,tɾansiçˈiɾ,ç
desbanˈesko,desbanesˈeɾ,s
despaɾeskˈamos,despaɾesˈeɾ,s
detɾˈajɡa,detɾaˈeɾ,
enaɾdˈese,enaɾdesˈeɾ,s
indispˈonɡan,indisponˈeɾ,n
ɡwaɾneskˈamos,ɡwaɾnesˈeɾ,s
naskˈajs,nasˈeɾ,s
ɾestablˈesko,ɾestablesˈeɾ,s
foɾtalˈeses,foɾtalesˈeɾ,s
enfebɾˈeses,enfebɾesˈeɾ,s
kondˈuses,kondusˈiɾ,s
siɾkunbˈenɡo,siɾkunbenˈiɾ,n
enfebɾˈeska,enfebɾesˈeɾ,s
sobɾekoxˈajs,sobɾekoçˈeɾ,ç
substɾˈajɡa,substɾaˈeɾ,
sobɾekoçˈejs,sobɾekoçˈeɾ,ç
ɾeestablesˈejs,ɾeestablesˈeɾ,s
pɾeestablˈesen,pɾeestablesˈeɾ,s
supˈone,suponˈeɾ,n
oskuɾˈeskan,oskuɾesˈeɾ,s
esklaɾeskˈajs,esklaɾesˈeɾ,s
abstɾaˈemos,abstɾaˈeɾ,
kontɾˈajɡo,kontɾaˈeɾ,
ʃasˈemos,ʃasˈeɾ,s
kaɾˈeskas,kaɾesˈeɾ,s
palidˈeses,palidesˈeɾ,s
despaɾˈesko,despaɾesˈeɾ,s
inbjˈenes,inbenˈiɾ,n
enkaʃˈesen,enkaʃesˈeɾ,s
indispˈones,indisponˈeɾ,n
tɾansˈixo,tɾansiçˈiɾ,ç
desbaneskˈamos,desbanesˈeɾ,s
siɾkunbenɡˈamos,siɾkunbenˈiɾ,n
adoleskˈajs,adolesˈeɾ,s
enseɡesˈemos,enseɡesˈeɾ,s
enɡɾandˈeska,enɡɾandesˈeɾ,s
dedˈuse,dedusˈiɾ,s
abstɾajɡˈajs,abstɾaˈeɾ,
ɾebeɾdˈeska,ɾebeɾdesˈeɾ,s
kontɾaˈase,kontɾaasˈeɾ,s
floɾˈeskan,floɾesˈeɾ,s
kompunxˈajs,kompunçˈiɾ,nç
tɾansˈixan,tɾansiçˈiɾ,ç
tɾansixˈamos,tɾansiçˈiɾ,ç
enaɾdesˈemos,enaɾdesˈeɾ,s
akonteskˈamos,akontesˈeɾ,s
