form,lemma,lemma_sf
desaɡɾadesˈemos,desaɡɾadesˈeɾ,s
aflˈixas,afliçˈiɾ,ç
despaɾˈesko,despaɾesˈeɾ,s
ɾestɾinçˈimos,ɾestɾinçˈiɾ,nç
astɾˈinxo,astɾinçˈiɾ,nç
deslˈuse,deslusˈiɾ,s
ɾetenˈemos,ɾetenˈeɾ,n
kontɾadˈiɡan,kontɾadesˈiɾ,s
desbaneskˈamos,desbanesˈeɾ,s
siɾkunbenɡˈamos,siɾkunbenˈiɾ,n
enseɡesˈemos,enseɡesˈeɾ,s
dedˈuse,dedusˈiɾ,s
koreçˈis,koreçˈiɾ,ç
abstɾajɡˈajs,abstɾaˈeɾ,
bˈales,balˈeɾ,l
enaɾdesˈemos,enaɾdesˈeɾ,s
enɾikesˈejs,enɾikesˈeɾ,s
ɾestɾinçˈis,ɾestɾinçˈiɾ,nç
enaɾdˈeskan,enaɾdesˈeɾ,s
